,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,装修描述,周边配套,交通出行,户型介绍,售房详情,权属抵押,别墅类型,适宜人群,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格
717,户型周正，格局分布合理，空间感好，通透性强。,30万,7693,天宁区兰陵街道,紫云府,1室1厅1厨1卫,中楼层 (共14层),39㎡,平层,暂无数据,暂无数据,北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-08-13,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,房东诚心出售，户型周正，格局分布合理，空间感好，通透性好,小区环境优美，绿化成熟，适合居住，健身器材一应俱全，洋房小高层错落有致，邻里关系友好。,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,
718,次新房，可以交易，低层不是一二楼，看房随时都可,88万,11429,武进区兰陵街道,兰蕙佳园,2室1厅1厨1卫,低楼层 (共27层),77㎡,平层,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-07-18,商品房,2023-11-20,普通住宅,未满两年,共有,无抵押,已上传房本照片,户型格局好，优质户型，户型方正，通透明亮业主现诚.,,"契税：首套房，90平米以下成交价的1％。 2.90平米以上成交价的1.5％, 二套房90平以上成交价的2%。 3.增值税：产证满2年免收增值税，未满2年征收5.6％",,综合市场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄。 500米内就有地铁口、中吴大道，交通便捷。运河公园环境，闹中取静,地处交通发达地段，在常州“金腰带”中吴大道南边，和平路地铁一号线西侧，中吴大道横穿东西，链接东西高架，地铁一号线贯穿南北，链接新北，市区，武进，抵达常州任何地方都方便,,,,,,,,,,
719,出行方便，靠市区，适宜居住，拎包入住,120万,15484,天宁区兰陵街道,兰陵尚品花园c区,2室2厅1厨1卫,低楼层 (共31层),77.5㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,一梯三户,有,暂无数据,2023-06-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利。,,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,
720,出行方便，交通方便，靠市区，适宜居住，拎包入住,150万,16484,天宁区兰陵街道,兰庭,2室2厅1厨1卫,高楼层 (共28层),91㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯三户,有,暂无数据,2023-04-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房源为本小区实在房源，环境优美，楼间开阔，居住舒适性高。,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住，让你步行就满足一切需要。,,,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。,小区楼下有共享单车，和两个公交站台，门口公交有多条线路，可到达江南商场，火车站等，交通四通八达，小区门口即是环城主干道，可通往常州各个区域。,,,,,,,,,,
721,采光充足，环境优美，闹中取静.,91.8万,13500,天宁区兰陵街道,国泰名都,1室1厅1厨1卫,低楼层 (共25层),68㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,暂无数据,2023-09-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强。,,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,1.环境优美：小区安静优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调；2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利；3.生活便利：小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松。,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,
722,户型好格局分明，商圈成熟，采光很好，诚心出售。,165万,18750,天宁区兰陵街道,九洲新世界花苑,2室2厅1厨1卫,高楼层 (共32层),88㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-02-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房楼层好，视野宽阔，采光充足，配套实施齐全，交通便利。,1.小区生活设施齐，商场、菜市场、银行等，交通便捷，2.小区内有健身器材，可供小区居民使用；3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。4.小区内24小时保安巡逻。,,,1.环境优美：小区安静优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调；2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利；3.生活便利：小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松。,小区电动车汽车都可出入，小区内路段宽敞，出行很方便，小区门口有共享单车，绿色出行，空闲时间和自己的好友约一场骑车运动也是蛮不错的。边上也有公交站台各个站点明确，方便老人出行，小朋友自主上学。,,业主现诚心置换，证件齐，业主自住保养好，欢迎看房，随时恭候。,,,,,,,,
723,九州新世界！挑高两层！低总价！让你在常州有个家,55万,12951,天宁区兰陵街道,九洲新世界花苑,1室1厅1厨2卫,中楼层 (共19层),42.47㎡,跃层,暂无数据,板塔结合,南,钢混结构,精装,四梯十六户,有,暂无数据,2023-08-25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,精装修景观房，户型方正，采光好，九洲新世界商圈，出行便利。,,首套 90平以下1% 。2，首套 90平及以上1.5% 。3，二套90平以下1% 。4，二套90平及以上2% 。5，三套都是3% 个人所得税：不是满五唯一年1%,,九洲菜场 阳光MALL，九洲电脑城，九州服装城 医院：二院、三院 邮局：兰陵桥下 邮政储蓄 银行：工商银行、建设银行、交通银行 ，工作生活便利,,精装修景观房，户型方正，采光好，九洲新世界商圈，出行便利，诚心出售。,,,,,,,,,
724,棕榈湾 2房2厅 精装修 有钥匙 看房方便,105万,11928,武进区兰陵街道,棕榈湾,2室2厅1厨1卫,中楼层 (共8层),88.03㎡,平层,暂无数据,板楼,南 北,框架结构,精装,暂无数据,暂无数据,暂无数据,2023-09-19,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,优质户型 采光好，通透格局，楼层好，实用率大，交通方便。,,契税：90平米以下成交价1%，90平米以上成交价的1.5%，二套房90平米以上成交价的2%，三套房成交价的3%，2、增值税：房产证满二年免征增值税，未满2年征收5.3%的税，3、个税：房产证满五唯一，免收个税，满五不唯一收1%的税。,,荆川公园 清潭菜场 华联卖场 新怡卖场，中国银行 建设银行 海王星辰药店 永红医院 激光医院 三鲜美食城等,,,,此房房东诚心出售，产证齐全，产权清晰，房子里无贷款抵押，可以随时过户。,,,,,,,
725,此房精装修，楼层好，诚意出售，小区环境优雅。,150万,18032,天宁区兰陵街道,九洲新世界花苑,2室2厅1厨1卫,高楼层 (共20层),83.19㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房精装修，楼层好，诚意出售，小区环境优雅。,"小区环境优美,舒适安静适宜居住，出门即有公交、菜场、银行、商场、美食等，人文素养好，邻里乐于助人，相处和谐。",,,生活配套齐全，医院，菜场，银行都有，成熟齐全，楼栋清晰分明，坐落有序，现场体验效果更加明显。,绿色出行，空闲时间和自己的好友约一场骑车运动也是蛮不错的。边上也有公交站台各个站点明确，方便老人出行，小朋友自主上学。,,,,,,,,,,
726,兰庭 精装 随时看房 两房朝南 户型方正,180万,19420,天宁区兰陵街道,兰庭,3室2厅1厨1卫,低楼层 (共28层),92.69㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯三户,有,暂无数据,2023-10-13,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,兰庭 精装 随时看房 两房朝南 户型方正,,此房不满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄,,,,此房有贷款，产权清晰。房东对付款无要求，按照正常首付就可以了,,,,,,,
727,户型方正 楼层好 看房方便 业主诚心出售,85万,11788,天宁区兰陵街道,九洲新家园,2室1厅1厨1卫,低楼层 (共32层),72.11㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯三户,有,暂无数据,2022-06-26,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,房子格局通透 楼层好 地理位置优越 出行方便,小区封闭式管理 24小时安保人员在岗 绿化 健身器材 地下车停车场 出行方便,,,房子配套设施齐全 银行 幼儿园 菜场 银行 九州新世界,小区门口有公交车站 自助脚踏车 中吴大道主线路 出行方便,,,,,,,,,,
728,出行方便，靠市区，适宜居住，拎包入住,120万,15484,天宁区兰陵街道,兰陵尚品花园c区,2室2厅1厨1卫,低楼层 (共31层),77.5㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,一梯三户,有,暂无数据,2023-06-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利。,,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,
729,精装楼层好，中、央空调，诚心出售看房方便,113万,15067,天宁区兰陵街道,浦南新村(西区),2室1厅1厨1卫,低楼层 (共6层),75㎡,平层,暂无数据,板塔结合,北 南,钢混结构,精装,暂无数据,无,暂无数据,2022-09-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,精装楼层好，中、央空调，诚心出售看房方便,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住，让你步行就满足一切需要。,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,小区位于兰陵成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲新世界近，吃喝玩乐都全。,,,,,,,,,,,
730,绿园爱舍南区电梯两房三开间朝南，楼层好视野佳,125万,13021,武进区兰陵街道,绿园爱舍南区,2室1厅1厨1卫,中楼层 (共11层),96㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-10-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,房东诚心出售，价格可谈，楼层好，视野佳，采光足。,小区介绍： 小区近中吴大道，出行方便，约500米是皇粮浜湿地公园，环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,小区紧靠弘阳生活广场，中吴大道，荆川公园， 湿地公园，江苏理工，学 校 小区门口就有酒店 银行 菜场 生活设施方便,,,,,,,,,,,
