,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,周边配套,税费解析,小区介绍,权属抵押,售房详情,交通出行,装修描述,别墅类型,适宜人群,房源核验码,查询房管备案记录
150,精装修，客厅宽敞， 采光好，公园旁。,70万,7763,经开区潞城,福康宁花园,2室2厅1厨1卫,低楼层 (共16层),90.18㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,使用面积很多 ，房东诚心出售，价格从优,,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,,,有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利,,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,,
151,新城公园壹号 朝南 带电梯 楼层好采光佳,95万,11594,经开区潞城,公园壹号四期,2室1厅1厨1卫,低楼层 (共33层),81.94㎡,暂无数据,63.25㎡,塔楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-03-24,商品房,2012-11-12,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,房子满五年唯一 方正三房 低楼层 看房随时可以,三开间朝南的大三居户型 南面双阳台方正明亮 结构合理，方便布局，居住舒适。,,,,贷款抵押：房子产权清晰 无贷款，无任何产权纠纷 看房的话有钥匙也很方便 业主诚售。,,,,,适宜人群：适合喜欢安静的客户群体，整栋居住人口少，比较简单的邻里关系 楼层不高，出入方便，适合喜欢低楼层的家庭居住。,,
152,港龙紫荆城二房 格局通透，户型方正，阳光充足,103万,11840,经开区潞城,港龙紫荆城,2室2厅1厨1卫,低楼层 (共29层),87㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-06-03,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 35万元 工商银行,未上传房本照片,此房格局通透，户型方正，阳光充足，房东诚心出售，产权清晰,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,,,,
153,蓝山湖 交通便利 生活配套齐全 环境优美,120万,13372,经开区潞城,蓝山湖,2室2厅1厨1卫,高楼层 (共34层),89.74㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯五户,有,暂无数据,2023-01-03,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房满二，楼层好，采光足，交通便利。,户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度较好,,首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,,,,,,,,
154,福康宁普装两房 房间朝南 明厨明卫 交通便利,85万,9341,经开区潞城,福康宁花园,2室2厅1厨1卫,低楼层 (共16层),91㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-03-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房间朝南，明厨明卫，交通便利 近商场,,丁塘河湿地公园。爱琴海购物广场，天宁吾悦广场等大型商 业综合体,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税,,,,2号线地铁潞城站，高架，高速入口，都比较方便，公交出行也很方便,,,,,
155,港龙新港城  楼层佳 采光好 户型方正,107万,12923,经开区潞城,港龙.新港城,2室2厅1厨1卫,低楼层 (共34层),82.8㎡,暂无数据,暂无数据,板塔结合,南 北,框架结构,简装,两梯四户,有,暂无数据,2023-01-31,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 40万元,未上传房本照片,港龙新港城 楼层佳 采光好 户型方正,,小区旁成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要,"税费解析： 税费解析： 税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区介绍： 小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,,,,,,,
156,蓝山湖 交通便利 生活配套齐全 环境优美,120万,13637,经开区潞城,蓝山湖,2室2厅1厨1卫,低楼层 (共34层),88㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,暂无数据,2023-03-14,商品房,2023-07-07,普通住宅,未满两年,共有,有抵押 20万元,已上传房本照片,此房满二，楼层好，采光足，交通便利。,户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度较好,,此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,,,,,,适合刚需客户 房子从来没有住过 可以用来当婚房 挺不错的。。。,,
157,港龙新港城 刚满2年 准新房 楼层佳 采光好 户型方正,120万,14006,经开区潞城,港龙.新港城,2室2厅1厨1卫,高楼层 (共34层),85.68㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-03-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,港龙新港城 刚满2年 准新房 楼层佳 采光好 户型方正,,小区旁成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要,"首套房，90平米以下成交价的1%,90平米以上成交价的1.5%，二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6%;3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,适合刚需客户 刚需小三房！户型方正，价格可以谈 很适合考虑在常州安家置业的年轻人 挺不错的。。。。。,,
158,房东诚心卖出售， 价格可以谈，房东诚心卖,108万,12559,经开区潞城,港龙.新港城,2室2厅1厨1卫,低楼层 (共34层),86㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-02-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房格局通透，户型方正，潞城必看,,小区旁成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要,,小区介绍： 小区介绍： 小区介绍： 小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,"税费解析： 税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
159,港龙新港城 楼层佳 采光好 户型方正,141.8万,13176,经开区潞城,港龙.新港城,3室2厅1厨1卫,中楼层 (共34层),107.62㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-06-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,港龙新港城 楼层佳 采光好 户型方正,,小区旁成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要,"税费解析： 税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,,,,,,,
160,公园壹号四期 2室2厅 南 北,130万,15854,经开区潞城,公园壹号四期,2室2厅1厨1卫,低楼层 (共32层),82㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-08-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,
161,港龙新港城 刚满2年 准新房 楼层佳 采光好 户型方正,110万,12644,经开区潞城,港龙.新港城,3室1厅1厨1卫,中楼层 (共34层),87㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-08-25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,港龙新港城 刚满2年 准新房 楼层佳 采光好 户型方正,,,个税百分之一 契税百分之一 总共百分之二的税 。。。。。。。,,,,,开发商统一装修 置办点软装就可以入住 业主诚心出售。。。。。。。。,,适合刚需客户 房子从来没有住过 可以用来当婚房 挺不错的。。。。,,
162,东方君开次新小区 中间楼层 采光好视野开阔 随时看房,160万,16448,经开区潞城,东方君开,3室2厅1厨1卫,中楼层 (共27层),97.28㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,中间楼层 三开间朝南 户型方正 房东诚心出售 产权清晰,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,,
163,公园壹号四期 2室2厅 南,108万,13163,经开区潞城,公园壹号四期,2室2厅1厨1卫,低楼层 (共33层),82.05㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-11,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,
164,地鉄口 港龙紫荆城 精装修两房朝南 拎包即住,120万,12807,经开区潞城,港龙紫荆城,2室2厅1厨1卫,中楼层 (共29层),93.7㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-03-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 7万元,未上传房本照片,生活方便 交通便利，地铁口350米 看房提前预约,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
165,此房精装三房 高楼层 采光刺眼 房东诚心出售 看房方便,162万,15644,经开区潞城,港龙.新港城,3室2厅1厨1卫,低楼层 (共18层),103.56㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-10-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 25万元,未上传房本照片,此房精装三房 高楼层 采光刺眼 房东诚心出售 看房方便,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,,,,,,,,
